konuGrubu,aciklama,sahipEmail,aktif
Sanduz Depo Hr.,Sanduz depo hareketleri,,TRUE
Endura Sevkan Satış,Endura Sevkan satış takipleri,,TRUE
Berk Erel Tahsilat,Berk Erel tahsilat takipleri,,TRUE
Genel Merkez,Genel merkez takipleri,,TRUE
Sanduz Muhasebe,Sanduz muhasebe takipleri,,TRUE
Moya Depo Giriş-Çıkış,Moya depo giriş-çıkış takipleri,,TRUE
Moya Muhasebe,Moya muhasebe takipleri,,TRUE
Tetra Maslak Depo,Tetra Maslak depo takipleri,,TRUE
Sevkan Muhasebe,Sevkan muhasebe takipleri,,TRUE
Depo Bulgaristan,Depo Bulgaristan takipleri,,TRUE
Dijital,Dijital takipler,,TRUE
